skip,take,totalCount,records
0,100,4522,"{'event': {'startDate': '2023-07-27T11:10:00+02:00', 'endDate': '2023-07-27T11:10:00+02:00'}, 'location': {'decimalLatitude': 65.59279, 'decimalLongitude': 22.29059}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-26T12:45:00+02:00', 'endDate': '2023-07-26T12:45:00+02:00'}, 'location': {'decimalLatitude': 59.38737, 'decimalLongitude': 13.51916}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-11T14:31:00+02:00', 'endDate': '2023-08-11T14:31:00+02:00'}, 'location': {'decimalLatitude': 58.89673, 'decimalLongitude': 15.43372}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-10T00:00:00+02:00', 'endDate': '2023-08-10T23:59:59+02:00'}, 'location': {'decimalLatitude': 60.15531, 'decimalLongitude': 17.82493}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-06T10:15:00+02:00', 'endDate': '2023-08-06T10:15:00+02:00'}, 'location': {'decimalLatitude': 65.82758, 'decimalLongitude': 21.68514}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-25T09:30:00+02:00', 'endDate': '2023-07-25T09:30:00+02:00'}, 'location': {'decimalLatitude': 57.56985, 'decimalLongitude': 13.38403}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-06T11:30:00+02:00', 'endDate': '2023-08-06T11:30:00+02:00'}, 'location': {'decimalLatitude': 65.88017, 'decimalLongitude': 21.67276}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-05-12T10:45:00+02:00', 'endDate': '2023-05-12T10:45:00+02:00'}, 'location': {'decimalLatitude': 58.1372, 'decimalLongitude': 12.29621}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-24T00:00:00+02:00', 'endDate': '2023-07-24T23:59:59+02:00'}, 'location': {'decimalLatitude': 56.86901, 'decimalLongitude': 14.23143}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-09T12:46:00+02:00', 'endDate': '2023-07-09T12:46:00+02:00'}, 'location': {'decimalLatitude': 60.10146, 'decimalLongitude': 15.2888}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
